filename,xmin,ymin,xmax,ymax,class
istockphoto-185726237-612x612_jpg.rf.ca7d4276690b1f8cafd693ec7d9b1805.jpg,30,51,372,268,bush
depositphotos_264302596-stock-photo-boxwood-carved-cone-shaped-lawn_jpg.rf.cd4c42da93bd606b905fb8668de96553.jpg,89,32,359,344,bush
boxwood-globe-wintergreen-24-10-gal_jpg.rf.cd4eb07c1e8c25fcbaa98d5c42c5421f.jpg,19,60,387,400,bush
istockphoto-1251434169-612x612_jpg.rf.cd8955c1cfbb1f1882b49cfd64f8b14c.jpg,42,42,371,366,bush
20220423_201024_jpg.rf.ce1856ab949e12930fbf267cba34ef14.jpg,107,1,327,364,bush
20220423_201046_jpg.rf.d00ed26440e27dab089e5bb0e482e4e2.jpg,123,17,307,322,bush
55b8fa2b19fe3739142293150a9bcbcb_jpg.rf.d01c99406677dd902b13d77582a58d6c.jpg,120,100,183,173,bush
55b8fa2b19fe3739142293150a9bcbcb_jpg.rf.d01c99406677dd902b13d77582a58d6c.jpg,46,105,105,174,bush
55b8fa2b19fe3739142293150a9bcbcb_jpg.rf.d01c99406677dd902b13d77582a58d6c.jpg,0,131,70,215,bush
55b8fa2b19fe3739142293150a9bcbcb_jpg.rf.d01c99406677dd902b13d77582a58d6c.jpg,99,143,156,215,bush
55b8fa2b19fe3739142293150a9bcbcb_jpg.rf.d01c99406677dd902b13d77582a58d6c.jpg,167,143,237,222,bush
55b8fa2b19fe3739142293150a9bcbcb_jpg.rf.d01c99406677dd902b13d77582a58d6c.jpg,314,200,389,296,bush
55b8fa2b19fe3739142293150a9bcbcb_jpg.rf.d01c99406677dd902b13d77582a58d6c.jpg,149,198,237,299,bush
55b8fa2b19fe3739142293150a9bcbcb_jpg.rf.d01c99406677dd902b13d77582a58d6c.jpg,46,196,133,302,bush
55b8fa2b19fe3739142293150a9bcbcb_jpg.rf.d01c99406677dd902b13d77582a58d6c.jpg,236,249,352,390,bush
55b8fa2b19fe3739142293150a9bcbcb_jpg.rf.d01c99406677dd902b13d77582a58d6c.jpg,0,279,90,416,bush
55b8fa2b19fe3739142293150a9bcbcb_jpg.rf.d01c99406677dd902b13d77582a58d6c.jpg,115,283,237,416,bush
istockphoto-695201438-612x612_jpg.rf.d1c906625d3c6bec6fcd0c6eb173b96d.jpg,18,50,388,400,bush
