filename,xmin,ymin,xmax,ymax,class
human02-29_png.rf.ca8ae10d595e24ec6d513db150eb1c0a.jpg,139,11,352,416,human
human08-02_png.rf.cae6ae91e0635224243bfee5abf0ed65.jpg,121,0,305,416,human
human08-24_png.rf.cae819f893251977b14d7d4a7a355470.jpg,120,0,304,416,human
human12-20_png.rf.cb24c204b9f3c78f0fb43429678fbda3.jpg,165,2,324,416,human
human16-08_png.rf.cb547f2a53a00800036b077368a62b3f.jpg,57,1,385,415,human
human10-30_png.rf.cc684a380d79834d79dd6245f551c9e8.jpg,118,2,317,416,human
depositphotos_44745583-stock-photo-handsome-businessman_jpg.rf.cc6d0899a737d30228bb2834cfa743a3.jpg,43,31,378,414,human
human14-21_png.rf.cc80933f2624a7f251c65543a9a9e474.jpg,65,0,357,414,human
human11-18_png.rf.cc8503714f2923cd5a8d878f38f26030.jpg,135,2,294,416,human
human16-28_png.rf.ccaf56b0e4bfc0d93b8d415e1eadec9c.jpg,57,1,385,415,human
human03-12_png.rf.cd3ec3a0ce32656f1b049f9feef6ffc3.jpg,147,11,341,416,human
human17-20_png.rf.cd6a4c301e1e3550dd2c9bc942c2ce3c.jpg,8,2,389,416,human
human09-16_png.rf.cd76dd65303332a55124e1c5f61b1aac.jpg,165,0,348,416,human
depositphotos_11409265-stock-photo-delivery-man_jpg.rf.ce0d3f6cddb846d90a34b4e231b2e227.jpg,129,13,291,405,human
human13-05_png.rf.ce189ce8af70cfc1065ae66df710227f.jpg,146,2,305,416,human
depositphotos_106825054-stock-photo-bald-man-in-gray-suit_jpg.rf.cefb4d6ccc002dd60392ed9fb7e60591.jpg,141,67,357,402,human
human04-12_png.rf.cf553d1c7f0b8e708d667199a03f54ad.jpg,9,2,331,409,human
depositphotos_43492191-stock-photo-handsome-businessman_jpg.rf.cee5d9f9d8acba1a316b168c0c66aaf0.jpg,129,13,324,412,human
human12-11_png.rf.d154dabbf8b716336d9ed1eec97ef966.jpg,150,0,308,414,human
human15-30_png.rf.d1a0c2dbe28a8c929137f79fb68bc22b.jpg,57,1,385,415,human
human09-13_png.rf.d1ab452bdc0a38c19660c34a897470d9.jpg,129,0,312,416,human
human02-19_png.rf.d23ff22ecfed50328e33710bc6be5b8b.jpg,130,11,343,416,human
human10-20_png.rf.d312f3118e0df5299ddfc0af251bc6b5.jpg,174,8,343,407,human
human17-23_png.rf.d3370ed06106cf0b590e0f5c368e0721.jpg,8,2,389,416,human
human05-14_png.rf.d3f6221d26764193d54c4cbb2b1df593.jpg,118,26,299,416,human
human16-27_png.rf.d41ea3d127d96438e0427a4eb6f0114d.jpg,57,1,385,415,human
